item_id,reviewer_role,human_reviewer,status,accept_json,gold_json,evidence,rationale,usefulness,usefulness_rationale,blocked_reason
verify-01,R2,elkholy90,,,,,,,,
verify-02,R2,elkholy90,,,,,,,,
verify-03,R2,elkholy90,,,,,,,,
verify-04,R2,elkholy90,,,,,,,,
verify-05,R2,elkholy90,,,,,,,,
verify-06,R2,elkholy90,,,,,,,,
verify-07,R2,elkholy90,,,,,,,,
verify-08,R2,elkholy90,,,,,,,,
verify-09,R2,elkholy90,,,,,,,,
verify-10,R2,elkholy90,,,,,,,,
verify-11,R2,elkholy90,,,,,,,,
verify-12,R2,elkholy90,,,,,,,,
verify-13,R2,elkholy90,,,,,,,,
verify-14,R2,elkholy90,,,,,,,,
verify-15,R2,elkholy90,,,,,,,,
screen-01,R2,elkholy90,,,,,,,,
screen-02,R2,elkholy90,,,,,,,,
screen-03,R2,elkholy90,,,,,,,,
screen-04,R2,elkholy90,,,,,,,,
screen-05,R2,elkholy90,,,,,,,,
screen-06,R2,elkholy90,,,,,,,,
screen-07,R2,elkholy90,,,,,,,,
screen-08,R2,elkholy90,,,,,,,,
screen-09,R2,elkholy90,,,,,,,,
screen-10,R2,elkholy90,,,,,,,,
screen-11,R2,elkholy90,,,,,,,,
screen-12,R2,elkholy90,,,,,,,,
screen-13,R2,elkholy90,,,,,,,,
screen-14,R2,elkholy90,,,,,,,,
screen-15,R2,elkholy90,,,,,,,,
find-01,R2,elkholy90,,,,,,,,
find-02,R2,elkholy90,,,,,,,,
find-03,R2,elkholy90,,,,,,,,
find-04,R2,elkholy90,,,,,,,,
find-05,R2,elkholy90,,,,,,,,
find-06,R2,elkholy90,,,,,,,,
find-07,R2,elkholy90,,,,,,,,
find-08,R2,elkholy90,,,,,,,,
find-09,R2,elkholy90,,,,,,,,
find-10,R2,elkholy90,,,,,,,,
find-11,R2,elkholy90,,,,,,,,
find-12,R2,elkholy90,,,,,,,,
find-13,R2,elkholy90,,,,,,,,
find-14,R2,elkholy90,,,,,,,,
find-15,R2,elkholy90,,,,,,,,
classify-01,R2,elkholy90,,,,,,,,
classify-02,R2,elkholy90,,,,,,,,
classify-03,R2,elkholy90,,,,,,,,
classify-04,R2,elkholy90,,,,,,,,
classify-05,R2,elkholy90,,,,,,,,
classify-06,R2,elkholy90,,,,,,,,
classify-07,R2,elkholy90,,,,,,,,
classify-08,R2,elkholy90,,,,,,,,
classify-09,R2,elkholy90,,,,,,,,
classify-10,R2,elkholy90,,,,,,,,
classify-11,R2,elkholy90,,,,,,,,
classify-12,R2,elkholy90,,,,,,,,
classify-13,R2,elkholy90,,,,,,,,
classify-14,R2,elkholy90,,,,,,,,
classify-15,R2,elkholy90,,,,,,,,
decide-01,R2,elkholy90,,,,,,,,
decide-02,R2,elkholy90,,,,,,,,
decide-03,R2,elkholy90,,,,,,,,
decide-04,R2,elkholy90,,,,,,,,
decide-05,R2,elkholy90,,,,,,,,
decide-06,R2,elkholy90,,,,,,,,
decide-07,R2,elkholy90,,,,,,,,
decide-08,R2,elkholy90,,,,,,,,
decide-09,R2,elkholy90,,,,,,,,
decide-10,R2,elkholy90,,,,,,,,
decide-11,R2,elkholy90,,,,,,,,
decide-12,R2,elkholy90,,,,,,,,
decide-13,R2,elkholy90,,,,,,,,
decide-14,R2,elkholy90,,,,,,,,
decide-15,R2,elkholy90,,,,,,,,
rerank-01,R2,elkholy90,,,,,,,,
rerank-02,R2,elkholy90,,,,,,,,
rerank-03,R2,elkholy90,,,,,,,,
rerank-04,R2,elkholy90,,,,,,,,
rerank-05,R2,elkholy90,,,,,,,,
rerank-06,R2,elkholy90,,,,,,,,
rerank-07,R2,elkholy90,,,,,,,,
rerank-08,R2,elkholy90,,,,,,,,
rerank-09,R2,elkholy90,,,,,,,,
rerank-10,R2,elkholy90,,,,,,,,
rerank-11,R2,elkholy90,,,,,,,,
rerank-12,R2,elkholy90,,,,,,,,
rerank-13,R2,elkholy90,,,,,,,,
rerank-14,R2,elkholy90,,,,,,,,
rerank-15,R2,elkholy90,,,,,,,,
compare-01,R2,elkholy90,,,,,,,,
compare-02,R2,elkholy90,,,,,,,,
compare-03,R2,elkholy90,,,,,,,,
compare-04,R2,elkholy90,,,,,,,,
compare-05,R2,elkholy90,,,,,,,,
compare-06,R2,elkholy90,,,,,,,,
compare-07,R2,elkholy90,,,,,,,,
compare-08,R2,elkholy90,,,,,,,,
compare-09,R2,elkholy90,,,,,,,,
compare-10,R2,elkholy90,,,,,,,,
compare-11,R2,elkholy90,,,,,,,,
compare-12,R2,elkholy90,,,,,,,,
compare-13,R2,elkholy90,,,,,,,,
compare-14,R2,elkholy90,,,,,,,,
compare-15,R2,elkholy90,,,,,,,,
extract-01,R2,elkholy90,,,,,,,,
extract-02,R2,elkholy90,,,,,,,,
extract-03,R2,elkholy90,,,,,,,,
extract-04,R2,elkholy90,,,,,,,,
extract-05,R2,elkholy90,,,,,,,,
extract-06,R2,elkholy90,,,,,,,,
extract-07,R2,elkholy90,,,,,,,,
extract-08,R2,elkholy90,,,,,,,,
extract-09,R2,elkholy90,,,,,,,,
extract-10,R2,elkholy90,,,,,,,,
extract-11,R2,elkholy90,,,,,,,,
extract-12,R2,elkholy90,,,,,,,,
extract-13,R2,elkholy90,,,,,,,,
extract-14,R2,elkholy90,,,,,,,,
extract-15,R2,elkholy90,,,,,,,,
review-01,R2,elkholy90,,,,,,,,
review-02,R2,elkholy90,,,,,,,,
review-03,R2,elkholy90,,,,,,,,
review-04,R2,elkholy90,,,,,,,,
review-05,R2,elkholy90,,,,,,,,
review-06,R2,elkholy90,,,,,,,,
review-07,R2,elkholy90,,,,,,,,
review-08,R2,elkholy90,,,,,,,,
review-09,R2,elkholy90,,,,,,,,
review-10,R2,elkholy90,,,,,,,,
review-11,R2,elkholy90,,,,,,,,
review-12,R2,elkholy90,,,,,,,,
review-13,R2,elkholy90,,,,,,,,
review-14,R2,elkholy90,,,,,,,,
review-15,R2,elkholy90,,,,,,,,
gate-01,R2,elkholy90,,,,,,,,
gate-02,R2,elkholy90,,,,,,,,
gate-03,R2,elkholy90,,,,,,,,
gate-04,R2,elkholy90,,,,,,,,
gate-05,R2,elkholy90,,,,,,,,
gate-06,R2,elkholy90,,,,,,,,
gate-07,R2,elkholy90,,,,,,,,
gate-08,R2,elkholy90,,,,,,,,
gate-09,R2,elkholy90,,,,,,,,
gate-10,R2,elkholy90,,,,,,,,
gate-11,R2,elkholy90,,,,,,,,
gate-12,R2,elkholy90,,,,,,,,
gate-13,R2,elkholy90,,,,,,,,
gate-14,R2,elkholy90,,,,,,,,
gate-15,R2,elkholy90,,,,,,,,
